,sentence
47,"The plays and films were really wonderful, people."
48,"People liked them very much, so could you play more next year."
49,The last thing is about the ticket.
50,"It was excellent about to have one reasonably-priced weekend ticket for all events, because it is convenient and normally young people do not have a lot of money, so I hope next year the ticket will be also like this."
51,I hope that you can consider my suggestions.
52,I really look forward to going to the festival next year.
53,"The original sentence is error-free, so the correction tag is not needed:"
54,I'm very glad to hear from you.
55,I hope everything is ok.
56,"I'm really sorry I didn't write you back immediately, because I was preparing my exam at that moment, so can you forgive me? We should keep in touch with each other, because you know I'm very happy to have a friend like you."
57,"In your last letter you asked me something about our rules, both at home and at school in my country."
58,I'd like to tell you.
59,"In school, we have lots of rules, especially in the class and some of them are quite strange."
60,"For example, we can't go to the toilet during lessons."
61,We should go there in the brake.
62,And we can't eat food or do any sports in our classroom.
63,"If you fail three subjects in your exam, you will be kicked out of school."
64,I don't like it.
65,"If I could, I would like to change this, because I don't think everyone can succeed at once."
66,We should give them a second chance to try.
67,"Anyway, in my country, generally, children are free at home, but it also depends on their parents."
68,"For me, I don't have rules at home - I just don't make trouble for my family."
69,I look forward to hearing from you soon.
70,All the best wishes and good luck.
71,"I have seen your advertisement in ""the Sun"" newspaper on 10th November, and I went to the festival on last Friday."
72,Most of the events were wonderful and well-organized.
73,"I enjoyed it, but I think it could be even better next year, so I would like to give my immature views of it."
74,"Firstly, the idea of holding this International Arts Festival is great."
75,"It made people enjoyed their weekend, relaxed themselves, and also it brought the foreign culture to them, enlarging their knowledge."
76,"In addition to it, one weekend ticket for all events was only £10."
77,"This was excellent, it."
78,"It made people only spend pocket-money, and then they could watch all the events at the weekend."
79,For them it is a really economical way to spend their weekend.
80,So my friends told me that this was their cheapest weekend.
81,"Moreover, the stars and artists were from only six countries."
82,"In my opinion, if you can invite more stars and artists from more countries, it will make the festival more exciting, more interesting, and some of the concert halls were too small."
83,The people in there couldn't even go to the loo because it was too crowed.
84,"Finally, the plays and films were wonderfully welcomed, as far as I'm concerned."
85,"If you can show more plays and films, it will achieve a good effect."
86,"This are only my immature views, if."
87,"If it is considerate for you, I will be very pleased."
88,Thank you very much.
89,I'm looking forward to hearing your reply.
90,"It was really pleased to receive your letter yesterday, you."
91,"You asked me about rules, both at my home and at my school."
92,I am very happy to tell you about this.
93,"At my school, we aren't allowed to smoke inside the building, because the building is made of wood."
94,"It tends to catch fire easily, and we aren't allowed to use the Internet."
95,There are only ten computers in the school.
96,"Only teachers can use it, if."
97,"If we used them, we would be sent to the head office of the school."
98,"At my home, there are many rules because I'm careless, so I am not allowed to smoke at home neither am I allowed to use the telephone, because last year I made a £1000 bill for one month."
99,"My parents were very angry with it, so they told me I am not to use the telephone any more, oh."
100,How is the weather like in England.
101,"I hope it isn't too wet, please."
102,Please give my regards to your parents.
103,I'm writing to express my feeling and opinion about the International Arts Festival which was held a few days ago.
104,"When I found the advertisement of the International Arts Festival, I was very excited."
105,It is great to hold an annual international arts festival in this place.
106,Then I spent two days at the festival.
107,I enjoyed it very much.
108,"There were so many exciting things I saw, such as stars and artists from around the world."
109,"Jazz, jazz, rock and classical concerts, plays and dance shows etc."
110,"The specified thing that is worth reminding here is the reasonably-priced ticket for all events, it is excellent because most tourists could offer what they like."
111,"Although I enjoyed it, there were still something that needed to be improved."
112,"For example, there were some concert halls which were too small to hold so many people, the stars and artists were just from six countries, which is not enough for the audience."
113,"In the addition, when you organize the next year's international arts festival, could you arrange more plays and films."
114,"Thanks for reading this letter, I'm looking forward to the next year's festival."
115,It is lovely to get your letter so soon.
116,You mentioned the rules at home and at school in the letter.
117,This remind me of what I experienced during my teenage years.
118,"In my country, the children go to secondary school when they are at in the first year of being a teenager."
119,"Your know, this age is the trouble age, boys have too much energy and girls want to fall in love with someone."
120,These they always annoy the school teacher and their parents.
121,"In result of these, the teachers make very strict rules at school, such as students aren't allowed to speak to each other in the class."
122,They had to finish homework in a limited time.
123,"They cannot oppose the teacher, girls are not allowed to wear make-up and or wear any jewellery."
124,"At home, in my experience, my parents didn't allow me to go out in the evening and gave me much homework to do, even in the holidays."
125,They also forbade me to have a boyfriend.
126,"I think it is not just what happened in my home, many of my friends had the same experience."
127,Now I'm a mother of two children.
128,They are all in the school.
129,"Comparing to my experience, I want to give them a more open attitude about everything."
130,I want to be a mother of them and a friend to them.
131,"But at school, although I hope the teacher doesn't give students so much homework, and isn't forbidden the opposite voice of the students, there is nothing I can do because of our culture."
132,I'm looking forward to receiving your next letter soon.
133,"No errors or corrections needed for this sentence, as it is already grammatically correct."
134,I'd like to complain about your Best musical show that I went to when I'd a week's holiday in London.
135,I felt really disappointed because the things you said in the advertisement wasn't true.
136,I went there at 19.
137,00 because the show started at 7.
138,30 as the advertisement said but I queued for at least an hour because the ticket machine broke down.
139,"Finally, after an hour, when my turn came to buy the entrance ticket, you staff said I couldn't have a discount and so as anyone."
140,"However, I bought the ticket even though it was more expensive because I'd been queuing for ages and I really wanted to see my favourite idol, Danny Brook."
141,"But when the show started, they said Danny wasn't there because of his illness and I felt very upset and dismayed about it because the situation I had was unlike what the advertisement promised."
142,"After the boring show finished, I was hungry and I decided to go to your theatre restaurant but the restaurant was closed after 19."
143,"The original sentence is empty, as there are no words or punctuation marks present."
144,So what's the point of saying visit our restaurant after the show?
145,I'd a very disappointing evening and my anger influenced me for the rest of my holidays.
146,I'd like to know if you can give the money back to me or I'll write letters to all the media departments to show how tricky you were.
147,"Unfortunately, Pat wasn't very good at keeping secrets."
148,He went to see the headmaster and told him all the truth.
149,Tim was the one who threw the paper aeroplane to the headmaster and Jon was the one who said some bad words behind the headmaster's back after he punished John.
150,"The headmaster was extremely angry about it and he gave both students a heavy punishment, which was suspended from school for a week."
151,This happened in the Thursday afternoon.
152,"When everyone finished their lunch, they all got into their classrooms quickly because they all knew that the headmaster would walk round the school every Thursday."
153,But some naughty students in my class were throwing paper airplanes when the teacher was writing something on the board.
154,"Unfortunately, one of the paper planes flew out of the window and hit directly to the headmaster's head."
155,Everyone was laughing and the headmaster's face was full of anger.
156,"He then punished Jon but the one who did it was Tim, so Jon was very angry and he said something bad about the headmaster."
157,Pat heard that and he went to see the headmaster straight after school.
158,The headmaster went to see Jon and Tim and punished them for their bad behaviour.
159,"After that event happened, Pat was Jon and Tim's enemy."
160,They both got into trouble because of him.
161,They do hate him so much.
162,"Dear Sir or Madam,"
163,I have recently been to the Circle Theatre and watched the musical show - Over the Rainbow.
164,I am writing to you because there were deviations from the advertisement which is was published in the newspaper.
165,"According to the advert, it says clearly that discounts are available, but when I was buying the tickets, I did not have this offer."
166,"As a result, I had to pay the full price of £15."
167,The second point is that the show had a delay of about 30 minutes.
168,"Although I believe there must have been problems, I expect your company managed to sort it out in the quickest way."
169,"Apart from that, the most disappointing fact is that there were different actors instead of Danny Brook and Tina Truelove, for whom I was coming."
170,"After the show we went to the theatre restaurant, but it was closed due to the refurbishment."
171,I was not really satisfied about the show and I certainly believe that it was not a perfect evening out.
172,I therefore would like to have a compensation of the £30 which I spent on the tickets.
173,"Unfortunately, Pat wasn't very good at keeping secrets."
174,My story had already been spread out the next day.
175,"Although failing in the exams wasn't really a big deal, it was awful that people kept mentioning it."
176,I thought I was not going to survive after failing the exams and my best friend had been untrustworthy.
177,But this idea was soon put off since I noticed in the newspaper that I had won the writing competition.
178,I couldn't believe my luck.
179,I was really sure that I won a return ticket to the Mediterranean Sea.
180,"During the trip, I made friends with other people who had also won the competition in their towns."
181,They were so kind to me that we soon became good friends.
182,"The last few days, we spent our time on sightseeing and shopping."
183,I must admit that it was the greatest time I have ever had in my life.
184,"On the last day when I was packing and getting ready to leave, I realized I had lost my passport and tickets."
185,A horrible thought suddenly came into my mind.
186,My bad luck had never left me.
187,"It had only hidden away from me and when there was a chance, it was going to give me a surprise."
188,"I am writing to complain about the musical show : Over the Rainbow, presented in your theatre on 15th of June."
189,I went to the theatre to buy the ticket and expected to have a discount as I was a student.
190,"However, the salesman in the box office told me the discount tickets had been sold out."
191,"I could not understand why, but I still bought the ticket because I was crazy about Danny Brook."
192,"Then, I went into the theatre on time but became a little bit angry for waiting until 20:15, forty-five minutes after the expected starting time."
193,"Furthermore, I was so disappointed to find out that Danny Brook was not on the stage and the leading actor sang so bad that I left the theatre before it finished."
194,"At last, I went to the theatre restaurant but it was closed because it needed cleaning."
195,I think it was definitely not the perfect evening as guaranteed in your advertisement.
196,I look forward to having a full refund in the very near future as I did not enjoy it at all.
197,"Unfortunately, Pat wasn't very good at keeping secrets."
198,Now everybody in the class knew my mum was a cleaner and teased me for having such kind of mum.
199,I was so sad about it and did not forgive Pat even though she apologized for thousands of times.
200,"A week later, when I was still in a bad mood, my form teacher, Mrs Brown, talked about jobs in our English lesson."
201,She told us there were numerous types of job in the world.
202,Some offered a high salary while some did not.
203,"However, they are equally important for our society."
204,Who wants to be a doctor? She asked.
205,Many students raised there hands.
206,"Who wants to be a lawyer? Again, many students put up their hand."
207,"But when she asked who wanted to be a cleaner, nobody raised his hand and I felt so shameful that I lowered my head."
208,Cleaner is a very good job.
209,Mrs Brown said with a loud voice.
210,"If there were no cleaner, who would clean the school for us? Who would keep the environment nice and tidy."
211,"Suddenly, all the classmates applauded and smiled to me with respect."
212,"The teacher also grinned and I was so impressed and repeated the words in my heart: ""All the jobs have the same importance."""
213,"The original sentence is empty, as there are no words or punctuation inside the '' tags."
214,Dear Sir or Madam :.
215,I am writing this letter in order to complain about my unpleasant experience in at your theatre.
216,"Two days ago, I went to see the musical show ""Over the Rainbow"" at your theatre."
217,The advertised starting time is 19:30.
218,"But due to for some unknown reasons, the play didn't start until 20:15."
219,The audience were anxious and bored.
220,What made things even worse was that the leading actor Danny Brook did not appear on the stage at all.
221,A second-class actor took his place.
222,We felt totally disappointed and cheated.
223,"After the show, I was hungry and tired."
224,"As your poster suggested, I intended to rest for a while at your restaurant."
225,"But when I got there, it had closed."
226,"In addition, the conductor didn't offer me any discounts as you had advertised on the poster when I bought the ticket."
227,I am sorry to say that I did not enjoy the evening at your theatre at all.
228,I hope you can pay me the money back as compensation.
229,I am waiting for your reply.
230,Modern technology has changed my daily life in two ways.
231,"First with a lot of advanced techniques being put into practical use, our living conditions becomes more and more convenient and comfortable."
232,"When we look around in the house, it is easy to find things like these : a microwave oven, TV set, computer, etc."
233,All these items of equipment are the applications of modern science.
234,"When you are planning to travel, you can choose a train, car or even a plane as your means of transportation."
235,"Without the development of modern technology, it may take your several years to reach the destination."
236,"Second, Modern technology makes communication much easier and more enjoyable."
237,"With the spreading use of the Internet, people living in different parts of the world can chat with each other through the web."
238,"And, we can also share important informations with other people."
239,"The development of information technology has changed the world into ""an earth village""."
240,Modern technology plays an important role in our life.
241,I am hoping to devote myself into the development of it.
242,To: Manager of the Theatre
243,"Few weeks ago, me and my farmily had a holiday in London, the."
244,"The holiday wasn't too good! Because, because."
245,During the week we decided where we wanted to go.
246,"We all agreed to listen to music so then we decided to come to your musical show and listen to ""Over the Rainbow""."
247,That evening we don't want to have our supper before the show.
248,"Anyway I thought it would be too early to eat and also because the timetable or candidates you give me have say: ""visit our theatre restaurant after the show""."
249,"So we did, but unfortunately it was close and I was so disappointed about it, not only because we had expected Danny Brook and Tina Truelove to be the actors in the starring role."
250,"Also I don't really mind that the show started late, but the route of that evening was centered."
251,And there were no discounts when you said there would be! Why is it everything that's on the candidates that were wrong and different from what we had experienced?
252,"We don't expect much bad to happen on our holiday, but this was a perfect show as well, it was the worst show and theatre I have ever been to in my life."
253,"The original sentence is empty, so there is no correction. The student simply wrote the letter ""S""."
254,"Please would you like to explain why this happened? We would like our money back, please because everything gone wrong."
255,The atmosphere totally changed!
256,Modern technology changed our daily life.
257,"In order to help us live happily, the scientists can easily predict the changes on earth, so than we can have time to prepare or defend our self from natural disasters."
258,Weapons were designed to kill and defend in a fight.
259,"In the Second World War, so many Germans were killed."
260,Also many people died from other regions.
261,"The original sentence is empty, as there is no text in the tagged sentence."
262,"Posin chemical compounds, e."
263,"Gases, and liquids, are created too."
264,"They were used to kill people, most..."
265,"Most of them give radiration, which can disable the person, mostly harming their brain and their bodies, and it could also cause deaths."
266,"The original sentence is empty, so the correction is also empty:"
267,"internet (networks), and mobile phones."
268,In the wars soldiers were communicate with mobile phones though places to place to get or give information about themselves and the enemy.
269,"By using the internet we could make new pen friends oversea, and create clubs."
270,Now a message can travel quicker and it is also world wide.
271,Sending letters takes about a week to Hong Kong from the U.
272,"The original sentence is blank, so the correction is simply ""K""."
273,"', but net work."
274,"The original sentence is empty, so the correction is also empty:"
275,", is much faster."
276,The time required is about only a few minutes.
277,"Now we could even create a club in Yahoo, which is free."
278,"Modern technology saves us a lot of times and brings us many benefits when we use it in the right ways, but some bad ways to use it."
279,Send virus to break down network.
280,I recentely had a week's holiday in London.
281,"During my stay I went to your theatre to see a musical show, which was OVER THE RAINBOW however."
282,"However, I had a very disappointing evening."
283,There are a lot of differences between the details of the musical show on the advertisement and the ones it actually was.
284,"Firstly, the starring stars on the advertisement were Danny Brook and Tina Truelove, while there were different actors in the musical show."
285,Secondly time starts at 19:30 on the leafet but it actually started at 20:15.
286,"Thirdly it said there were discounts available in the advertisement, however."
287,"However, there were not any at all."
288,"Finally it said we could visit your theatre restaurant after the show, but it was closed because your excuse of being used at that moment."
289,"It said on the leaflet that this would be a perfect evening out, while it was not that at all."
290,I felt very disappointing after seeing the music show in your theatre.
291,"As I said the reasons above, I want to ask for my money back! I look forward to hearing from you."
292,"Unfortunately, Pat wasn't very good at keeping secrets."
293,He was so kind that the he couldn't resist telling Janet that she was going to be killed by Mr. Brown.
294,"After finishing that, Pat left this room."
295,Janet was so nervous that she couldn't stop her heart throbbing quickly.
296,She went quietly downstairs and closed the door as soon as she went into her room.
297,At that moment a lot of things appeared in her mind which seemed as if they had just happened yesterday.
298,"""Why did Mr Brown want to kill me?"" She said to herself."
299,"""I am just a servant in this castle."""
300,"I love him so much and I don't want anything from him, although he is the owner of this castle."
301,"""While it seemed as if a shadow came in from through the window and disappeared quickly."""
302,"Everything in the room is quiet except the sound of the clock, as if everything was going to die."
303,She was so frightened and sad that she had no energy.
304,"She fell down onto the floor and wept, while nobody could help her."
305,I am writing to you to complain about the show which I saw last Friday at your theatre.
306,The show was called 'Over the rainbow'.
307,I was not pleased with the way that it was set out.
308,"First of all, when I went and bought my ticket, there was no discount, but in your advertisement it said clearly that discounts are available and as a result, my ticket was bought more expensive."
309,"Secondly, the show I went to was the evening one, which was supposed to start at 7:30 p."
310,But it had a 41-minute delay and it ended up starting at 8.
311,"The original sentence is simply ""m"", which means the learner misspelled the letter ""m"". The corrected sentence is ""m""."
312,"Furthermore, the original actor was Danny Brook but it changed to a different actor who acted terribly and was very disappointing."
313,"Last of all, it said in your advertisement that there is a theatre restaurant open after the show but it turned out to be closed because it was being redecorated and no announcement was made."
314,I didn't have a perfect evening out and instead I had an awful evening out.
315,Therefore I would like are refund of my ticket and I would like an apology.
316,Thank you from you.
317,"What will clothes be like 100 years from now? What do you think models will wear in the catwalks? Will they wear anything? Who knows? Nowadays, people look at fashion magazines or get opinions from their friends to decide what to wear in different occasions."
318,Will they still do the same 100 years later?
319,"In my opinion, I think clothes will be a lot different in 100 years later compare to now."
320,"As new materials are made and new styles are created either by designers or people themselves, which leads to changes in fashion, but on the other hand come materials will probably still be used such as jeans, which was invented ages ago in America."
321,And people nowadays still use jeans as a common material.
322,"If you walk out on to the street now, you will probably see more than half the people wearing clothes that are made with jeans, which is incredibly surprising!"
323,"From my point of view, I think people will wear more clothes that are see-through in particular."
324,"As people are wearing thinner and thinner clothes to show off their figure, they might as well just wear clothes that are see-through to give it a better effect! So if you want to know what clothes will be like 100 years later, the only thing you can do is to WAIT!"
325,"No errors or corrections needed, as the sentence is already in its original and corrected form."
326,I am writing to complain about the musical show which was held last week.
327,I feel disappointed because it was different to what was promised in the advertisement.
328,"First of all, the performers should have been Danny Brook and Tina Truelove."
329,"However, there were two unknown actors in the show."
330,I feel most disappointed about this.
331,The show was started at 20.
332,15 but actually it should have started at 19.
333,"The original sentence is untagged, meaning it does not have any errors or corrections. The learner wrote ""30"" correctly without any mistakes."
334,"Moreover, I bought a £20 ticket without any discount even and the advertisement mentioned that a discount was available."
335,"And after the show, we went to visit the theatre restaurant."
336,"Unfortunately, it was closed because at that day was their day-off."
337,But I am wondering why it said we could visit the restaurant if you knew it would be closed.
338,I am afraid it was not the best musical show because all the things above was not an accurate as what we had been told.
339,"On the whole, I feel disappointed about the event and I would like to have my money back."
340,I look forward to hearing your reply.
341,"Unfortunately, Pat wasn't very good at keeping secrets."
342,I say this because of the experience I've had from with her.
343,"Actually, we were quite good friends before this event happened."
344,Pat has been studying in the same class with me since this year.
345,"She is sitting next to me, we."
346,"We started to chat more and more, then."
347,Then we became good friends.
348,"One day, we were sitting in the dinning-hall like usually."
349,Suddenly my heart was thumping so quickly because I saw him - A boy who is a new student.
350,I know this is one right love.
351,I'm absolutely besorrted of him.
352,Then I told this to Pat and told her to keep it secret: I didn't want people gossiping behind me then everyone would know I fancyed him.
353,But the thing which I've never expected is that Pat betrayed me.
354,She told everyone that I fancy him and everybody always makes a joke on it.
355,That makes me feel so embarrassed: I was very angry at that time!
356,"Now, I don't talk to her anymore because I can't stand a person who betrayed me."
357,I hope she would know that it was her fault and won't do it anymore.
358,Re: The Musical Show Presented by the Circle Theatre.
359,"With reference to the advertisement published in the New Strait Times newspaper on May 22nd, 2000, I, as a consumer and customer of the musical show, who is an avid fan of Danny Brook, who is said to have starred in the show, would like to complain about the presentation."
360,The original sentence is correct as it is: 1.
361,"First of all, I was really furious about watching a show starring by a different actor, instead of Danny Brook."
362,Whose name was stated on the advertisement.
363,"Besides this, the show started almost 45 minutes later than what it was said to be."
364,"The original sentence is empty, so the correction is also empty:"
365,The Price of the ticket was said that there would be discounts available.
366,"However, I was completely disappointed when I was told that there were not any discounts for the show."
367,I also found out that the theatre restaurant was not opened after the show due to the shortage of food sold.
368,I was really hungry after the show and was pissed off.
369,"With considering all the above points, I would like to ask for some money return."
370,I would consider taking this complaint to the court if I do not receive any agreeable explanation from the theatre.
371,"Fashion is one of the most popular topics people discuss about in the past, now and also in the future."
372,"However, things are recycling from time to time."
373,So do the objective of wearing clothes.
374,"I will imagine that people in the future, for example 100 years from now, will wear clothes for protection like people did in the past."
375,"The people in the past wore clothes to protect themselves from the cold air, hot weather and strong wind."
376,"On the other hand, the people in the future will probably wear clothes to protect themselves from the polluted air and water, the harmful ultra-violet rays from the sun, and all the dangerous and poisonous gases or chemicals which is the result of a developed and full-grown country."
377,I think people in the future will likely wear helmets with oxygen gas well provided.
378,It is because of the increasing number of the population and the shortage of the oxygen gas in the atmosphere.
379,"They will also wear water-proof, ultra-violet proof and other dangerous liquid-proof clothes to protect themselves."
380,"These clothes have to be made of something light, suitable to wear and protective."
381,All the above ideas are needed to make them bare no burden when wearing these special designed clothes.
382,The future is a hope and a dream for everyone in on the earth.
383,"Therefore, I will suggest that we all nov to keep the environment clean and healthy for the next generation."
384,Dear Manager of the theatre:
385,I am writing a letter to complain about the musical show I saw last week when I was in London.
386,"I thought that I would have a great time there, but I was really disappointed in that evening."
387,"You said there would be stars such as Danny Brook and Tina Truelove, whose music is my favourite, but the musicians were actually some other people whose names I had never heard of."
388,"In the advertisement of the show, you said it would begin at 19."
389,"Actually, it was delayed 45 minutes."
390,The discounts were not exist.
391,"It could make things worse that our visit to your theatre restaurant, which had already been closed because of a lack of customers, was canceled."
392,"However, what a let down!"
393,I would be grateful if you could give us the our money back.
394,"If I cannot get your satisfactory reply within a month, I shall go to the consumer protection organization to sue you."
395,I am looking forward to hearing from you.
396,How has modern technology changed our daily life.
397,Our life has been influenced by modern technology.
398,"Five years ago, you could be proud of your 486 computer, which can only be put inside a museum as an antique now."
399,Then how does it changed our daily life?
400,I have been an enthusiast of music for a long time.
401,I used a tape player and I felt it was excellent.
402,"Today, there are multi-choices, such as a discman (CD player)."
403,"MD walkman and MP3 player, which are considered to be more portable and have a better timbre sound quality."
404,"Communication has been more conventional, we can simply make a phone call, and send emails or faxes instead of writing letters and waiting for a long time."
405,Especially the improvement in the sophistication of personal computers has greatly helped the spread of information by.
406,"By using the Internet, you can book newspapers, and even go shopping online."
407,"Therefore, our life has been influenced and changed by the developing of technology."
408,"In conclusion, we should work hard to learn knowledge, making the future better and better."
409,I recently had a holiday in London and had been to your musical show Over the Rainbow but found it very disappointing.
410,It is said that the singers are Danny Brook and Tina Truelove in the advertisement.
411,"However, there was a different unknown actor in that."
412,"The show started later, at 20:15 which was very different in '19."
413,"There was no discount at all, which is in contrast with Discounts Available."
414,"After the show, I wanted to have something in the theatre restaurant and found it was closed because of no reason."
415,The real show is really very different to what are mentioned in the advertisement.
416,I am unsatisfied and would like to ask for some money back.
417,Please would you also change the advertisement to the level of the actual facts.
418,Thank you for your attention.
419,What will clothes be like 100 years from now? It is a very hard thing to predict.
420,The fashion of nowaday clothing is just keeps on changing.
421,"Although some may appears again after a few years, different styles are developed."
422,"For the fashion of the future, I think it depends on the people's own personalities and they develop their own styles which suits them the most."
423,"They can wear different kinds of clothing, like they design for themselves or those like history can wear those of Victorian time and in different countries."
424,"For the colours, I think the metallic colours, especially silver, will be the most popular."
425,As different kinds of fabrics will be invented and the clothings will never be just cotton as always been seen.
426,Maybe paper can also be a fabric use to make clothing and for those who like to wear new clothes everyday.
427,They can be thrown away after wearing it and are light enough to be carried around whenever you want to change what you're wearing.
428,"Dear Sir or Madam,"
429,"I am writing to complain about the musical show, which gave me a very disappointing evening, while I was staying in London."
430,"Firstly, there was a different actor instead of the famous actor, Danny Brook."
431,That made me so disappointed.
432,"Secondly, I suppose the show will start at 19:30, but it started at 20:15."
433,It caused me to miss the train and I went back to the hotel when it was nearly mid-night.
434,"Another problem is, I realized that the discounts were available."
435,"However, there wasn't any discount."
436,"Additionally, the advertisement said I could visit the theatre restaurant after the show."
437,"When I arrived, it was closed."
438,That is so annoying that everything had been changed without any notice.
439,I expected to receive the money back within these two days.
440,Otherwise I would like to take the other further action.
441,"Unfortunately, Pat wasn't very good at keeping secrets."
442,"I told Pat everything, even my secrets, when we were still friendly."
443,"However, we are not friends anymore because of a secret in the past."
444,It was a very long time since I was in Year 7.
445,I told Pat that my father and mother were going to separate.
446,I told her because I wanted somebody to share my feeling.
447,"Maybe it was the wrong decision to tell her, she."
448,"She began to spread that secret to everybody, including the teachers."
449,They tried to contact with my parents.
450,My parents were very angry when they realized what had happened.
451,All my friends were trying to keep their distance with me.
452,That was all because of Pat.
453,"At last, I decided to go to the other school and I will not tell any secret to the others."
454,"I am writing to complain about a musical show which is called ""Over The Rainbow"" and ask for my money back."
455,This show was presented by the Circle Theatre.
456,"First of all, the poster told me that this show was performed by Danny Brook and Tina Truelove, but there were different actors."
457,I am so disappointed.
458,"Secondly, the show was expected to start at 19:30 but it started at 20:15."
459,I have been waiting for 45 minutes.
460,The poster also told me that I could visit the theatre restaurant after the show.
461,"As you know the show started late, so I was not able to go to the theatre restaurant because it was closed before the show has been finished."
462,"Thirdly, there were no discounts available but it was printed on the poster."
463,"If there were no discounts, don't write it on the poster."
464,I got confused and was disappointed again.
465,"Finally, I would like to have my money back."
466,I am looking forward for your prompt reply and improvement.
467,How has modern technology changed your daily life?
468,The world is changing every day.
469,"So, modern technology is needed to meet the requirement."
470,"In every single day, many modern technology is produced and it really affects or changes our daily life."
471,"The most important development is the Internet system, which is connected to the whole world's computers by some telephone lines."
472,You can send a letter to your friend by an e-mail but not instead of writing it on a piece of paper and sending it by post.
473,It just takes you a few minutes.
474,"How convenience it is! There are also much more advantages, you."
475,You can buy something in a supermarket by only a mail order.
476,You don't need to leave your home.
477,"Other than the Internet, there is also many modern technology which is changing our daily life."
478,"For example, we can go to the Mars and do some investigation research."
479,"So, we know much more about our universe."
480,Some modern technology is also put into the transport system.
481,"For example, trains can go faster and aeroplanes can travel faster."
482,The modern technology has changed our daily life.
483,It aims at improving our standard of life and makes us live more comfortably.
484,So I think the changes are good.
485,"... musical show &#x3c;Best musical show, which I went to when I had a week's holiday in London."
486,No errors or corrections required. The sentence is already in its original and corrected form.
487,I am writing to complain about a musical show last weekend when I was in London.
488,I felt very upset about your advertisement was totally different between the musical show.
489,"Firstly, I could not buy a discount ticket as you mentioned."
490,"Secondly, the show started at 8:15 pm."
491,Instead of 19:30 p.m.
492,"Thirdly, a theatre restaurant was being closed."
493,But the worst thing is the actors were not Danny Brook and Tina Truelove.
494,It was really a let down!!
495,"How dare you could show ""Your perfect evening out"" in your advertisement."
496,It was very ridiculous!
497,"To be honestly, I would like you could return the money back to me."
498,And explain what had happened.
499,I look forward to hearing from you return back.
500,Thank you for your patience.
501,"Unfortunately, Pat wasn't very good at keeping secrets."
502,Although Pat is very smart and intelligent.
503,She likes to talk with other people.
504,She has an open-mind.
505,"So, she has got many friends."
506,Lily was one of her best friends before for three years.
507,"She enjoyed sharing everything with Pat, whatever it was."
508,Nick was Lily's husband.
509,Her husband was being fired the last previous year.
510,Lily felt very nervous about their financial problems and their future.
511,As they wanted to get a baby.
512,She told to Pat about what had happened in her family.
513,And what she was worried.
514,"Of course, she knew Nick didn't like her to tell other people what about his private."
515,She told Pat that she didn't want any other people to know about it except her.
516,Pat also promised not to tell other people.
517,"But in one gathering party, their friends want to show their concern, and they went to ask about Nick and send him their sympathy."
518,This let Nick very embarrassed and he got felt hurt.
519,"Finally, they got separated."
520,"Today, Pat and Lily are still friends."
521,But Lily never tells her what she really wants and what she really thought about the thing.
522,Pat felt very sorry about that but it was too late.
523,"Dear Sir or Madam,"
524,I am writing to express my great disappointment about the musical show I attended in your theatre last weekend.
525,"According to your advertisement, it stars DANNY BROOK AND TINA TRUELOVE, but surprisingly, it was performed by a different actor whom I even didn't know the name."
